,region_type,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_5_24,age_50_64,age_65,ilitotal,num_providers,total_patients,date
640,National,2010,1,1.90712,1.98284,4998,3333.0,3961,1244.0,763,14299,1996,721138,2010-01-04
641,National,2010,2,1.86738,1.82749,4877,2793.0,4614,1182.0,622,14088,2016,770895,2010-01-11
642,National,2010,3,1.88072,1.92606,5399,2693.0,5079,1008.0,578,14757,2053,766177,2010-01-18
643,National,2010,4,1.96908,1.92495,5333,2560.0,5655,1046.0,528,15122,2026,785580,2010-01-25
644,National,2010,5,2.11387,2.08877,5816,2581.0,6142,948.0,550,16037,1996,767773,2010-02-01
645,National,2010,6,2.09695,2.03434,5496,2644.0,5577,1006.0,658,15381,1977,756068,2010-02-08
646,National,2010,7,1.90294,1.97649,5388,2649.0,5536,994.0,498,15065,1954,762208,2010-02-15
647,National,2010,8,1.96951,1.99362,5040,2943.0,6207,1218.0,679,16087,1990,806925,2010-02-22
648,National,2010,9,1.92331,1.85383,4281,2763.0,5685,1085.0,672,14486,1953,781411,2010-03-01
649,National,2010,10,1.89659,1.8673,4612,2660.0,5270,1112.0,700,14354,1946,768702,2010-03-08
650,National,2010,11,1.75181,1.69987,4063,2468.0,4466,976.0,628,12601,1933,741293,2010-03-15
651,National,2010,12,1.52632,1.49741,3625,2097.0,4108,827.0,534,11191,1917,747358,2010-03-22
652,National,2010,13,1.49572,1.45112,3408,1954.0,3733,736.0,528,10359,1875,713863,2010-03-29
653,National,2010,14,1.22313,1.20715,3090,1718.0,2933,644.0,428,8813,1850,730068,2010-04-05
654,National,2010,15,1.17754,1.17415,3117,1572.0,3110,598.0,404,8801,1831,749563,2010-04-12
655,National,2010,16,1.09112,1.16207,2921,1461.0,3044,522.0,414,8362,1765,719580,2010-04-19
656,National,2010,17,1.11958,1.17213,3081,1435.0,2972,557.0,395,8440,1755,720054,2010-04-26
657,National,2010,18,1.08169,1.12168,2781,1385.0,2901,482.0,365,7914,1710,705551,2010-05-03
658,National,2010,19,1.12497,1.14981,2851,1363.0,2645,491.0,347,7697,1664,669414,2010-05-10
659,National,2010,20,1.06197,1.13328,2816,1364.0,2553,498.0,372,7603,1624,670887,2010-05-17
660,National,2010,21,1.08909,1.08171,2636,1235.0,2188,445.0,349,6853,1497,633532,2010-05-24
661,National,2010,22,1.1776,1.19959,2413,1212.0,2172,463.0,335,6595,1421,549773,2010-05-31
662,National,2010,23,0.97493,0.952808,2147,1081.0,1831,374.0,322,5755,1435,604004,2010-06-07
663,National,2010,24,0.987132,0.916032,1975,978.0,1784,339.0,240,5316,1405,580329,2010-06-14
664,National,2010,25,0.995991,0.926582,2027,882.0,1779,397.0,249,5334,1384,575664,2010-06-21
665,National,2010,26,0.904726,0.86962,1754,862.0,1541,323.0,238,4718,1347,542536,2010-06-28
666,National,2010,27,0.941927,0.903133,1753,816.0,1566,334.0,222,4691,1353,519414,2010-07-05
667,National,2010,28,0.880415,0.773776,1458,819.0,1450,298.0,209,4234,1284,547187,2010-07-12
668,National,2010,29,0.842615,0.742774,1323,759.0,1335,335.0,198,3950,1265,531790,2010-07-19
669,National,2010,30,0.858382,0.730934,1290,805.0,1279,302.0,174,3850,1250,526723,2010-07-26
670,National,2010,31,0.83383,0.786882,1381,839.0,1357,291.0,209,4077,1241,518121,2010-08-02
671,National,2010,32,0.847437,0.763051,1378,809.0,1307,300.0,214,4008,1212,525260,2010-08-09
672,National,2010,33,0.888273,0.841043,1485,883.0,1592,360.0,198,4518,1225,537190,2010-08-16
673,National,2010,34,0.765372,0.791573,1520,811.0,1592,295.0,202,4420,1235,558382,2010-08-23
674,National,2010,35,0.91858,0.912732,1564,1019.0,1866,354.0,204,5007,1170,548573,2010-08-30
675,National,2010,36,1.01432,1.03398,1850,1076.0,1959,374.0,234,5493,1198,531250,2010-09-06
676,National,2010,37,1.01233,0.934009,1720,1061.0,2118,358.0,253,5510,1210,589930,2010-09-13
